Tool,Execution Time (s),CPU Used (%),Memory Used (KB)
bandit,0.24,96,28968
flake8,0.15,237,24812
ruff,0.01,154,80424
mypy,0.15,100,52452
bandit,0.21,99,29220
flake8,0.17,223,22808
ruff,0.01,127,74668
mypy,0.17,97,52528
bandit,0.30,97,29160
flake8,0.31,223,22808
ruff,0.02,134,75076
mypy,0.42,97,52556
bandit,0.33,98,29156
flake8,0.26,215,22808
ruff,0.02,177,73052
mypy,0.27,98,52612
bandit,0.24,95,29132
flake8,0.17,242,22812
ruff,0.01,129,76820
mypy,0.17,93,52544
bandit,0.21,99,29252
flake8,0.15,240,22824
ruff,0.01,145,80284
mypy,0.15,100,52572
bandit,0.20,99,29324
flake8,0.14,230,24796
ruff,0.01,145,80312
mypy,0.15,100,52600
bandit,0.21,99,29328
flake8,0.16,231,22816
ruff,0.01,145,82132
mypy,0.16,98,52564
bandit,0.23,96,29324
flake8,0.16,228,22792
ruff,0.01,123,78428
mypy,0.15,99,52616
bandit,0.20,100,29240
flake8,0.16,233,22660
ruff,0.01,130,84440
mypy,0.15,100,52532
bandit,0.20,99,29256
flake8,0.15,228,22732
ruff,0.01,145,80408
mypy,0.15,99,52612
bandit,0.20,99,29232
flake8,0.15,234,24816
ruff,0.01,150,80052
mypy,0.15,99,52452
bandit,0.21,100,29288
flake8,0.16,231,22712
ruff,0.01,116,82036
mypy,0.15,100,52532
bandit,0.20,100,29236
flake8,0.15,234,22808
ruff,0.01,136,70504
mypy,0.15,99,52628
bandit,0.20,99,29128
flake8,0.16,233,22804
ruff,0.01,154,74932
mypy,0.15,98,52556
bandit,0.21,99,29152
flake8,0.16,232,22808
ruff,0.01,133,84236
mypy,0.15,99,52620
bandit,0.20,100,29156
flake8,0.16,226,22808
ruff,0.01,133,82520
mypy,0.15,100,52632
bandit,0.20,100,29132
flake8,0.16,237,24852
ruff,0.01,138,82036
mypy,0.15,100,52572
bandit,0.20,100,29252
flake8,0.16,240,22812
ruff,0.01,133,76428
mypy,0.15,99,52600
bandit,0.20,100,29288
flake8,0.15,236,24800
ruff,0.01,150,81104
mypy,0.15,100,52564
bandit,0.21,99,29156
flake8,0.15,230,22728
ruff,0.01,127,86208
mypy,0.15,99,52568
bandit,0.20,100,29244
flake8,0.15,232,22796
ruff,0.01,133,76256
mypy,0.15,100,52548
bandit,0.20,100,29256
flake8,0.15,229,22732
ruff,0.01,145,86292
mypy,0.15,100,52572
bandit,0.20,99,29084
flake8,0.15,243,24696
ruff,0.01,136,78860
mypy,0.15,99,52616
bandit,0.20,99,29252
flake8,0.15,232,22804
ruff,0.01,127,84220
mypy,0.15,99,52560
bandit,0.20,100,28960
flake8,0.15,233,22816
ruff,0.01,133,78316
mypy,0.15,100,52572
bandit,0.20,97,29156
flake8,0.15,234,24676
ruff,0.01,136,82384
mypy,0.15,95,52452
bandit,0.20,99,29284
flake8,0.15,235,22812
ruff,0.01,133,74288
mypy,0.15,100,52556
bandit,0.20,99,29220
flake8,0.15,231,22820
ruff,0.01,122,76888
mypy,0.15,99,52544
bandit,0.20,99,29156
flake8,0.15,235,22804
ruff,0.01,130,66340
mypy,0.15,99,52512
bandit,0.22,100,29304
flake8,0.15,231,24724
ruff,0.01,145,80152
mypy,0.15,100,52620
bandit,0.21,100,29132
flake8,0.15,233,22860
ruff,0.01,141,82352
mypy,0.14,99,52604
bandit,0.20,99,29108
flake8,0.16,220,22812
ruff,0.01,117,71940
mypy,0.15,100,52616
bandit,0.20,99,29276
flake8,0.15,231,22736
ruff,0.01,150,72492
mypy,0.15,100,52576
bandit,0.21,100,29292
flake8,0.15,232,22812
ruff,0.01,140,76064
mypy,0.15,99,52532
bandit,0.20,100,29288
flake8,0.14,236,22804
ruff,0.01,141,80504
mypy,0.15,99,52564
bandit,0.20,99,29116
flake8,0.16,235,22860
ruff,0.01,127,78588
mypy,0.15,100,52548
bandit,0.20,99,29172
flake8,0.15,242,22660
ruff,0.01,141,76720
mypy,0.15,98,52628
bandit,0.20,100,29328
flake8,0.15,231,22744
ruff,0.01,145,82264
mypy,0.15,99,52616
bandit,0.20,99,29220
flake8,0.15,234,22800
ruff,0.01,150,80728
mypy,0.15,100,52544
bandit,0.20,100,29236
flake8,0.16,235,22792
ruff,0.01,126,82420
mypy,0.15,99,52616
bandit,0.20,100,29252
flake8,0.16,234,24728
ruff,0.01,136,86164
mypy,0.15,96,52552
bandit,0.20,99,29260
flake8,0.15,235,24900
ruff,0.01,130,80000
mypy,0.15,99,52624
bandit,0.20,100,29296
flake8,0.16,235,24776
ruff,0.01,145,80612
mypy,0.15,99,52532
bandit,0.20,99,29212
flake8,0.16,241,22780
ruff,0.01,122,82300
mypy,0.15,100,52604
bandit,0.20,99,29256
flake8,0.15,234,22796
ruff,0.01,125,82152
mypy,0.15,99,52576
bandit,0.20,99,29080
flake8,0.15,235,22696
ruff,0.01,160,74884
mypy,0.15,99,52568
bandit,0.20,99,29284
flake8,0.15,242,24832
ruff,0.01,136,78180
mypy,0.15,100,52552
bandit,0.20,100,28956
flake8,0.15,233,24692
ruff,0.01,129,82100
mypy,0.15,100,52540
bandit,0.20,99,29240
flake8,0.15,240,22748
ruff,0.01,145,83104
mypy,0.15,100,52612
bandit,0.20,100,29248
flake8,0.16,242,22692
ruff,0.01,154,74352
mypy,0.15,100,52576
bandit,0.20,100,29084
flake8,0.15,232,22792
ruff,0.01,116,81956
mypy,0.15,99,52608
bandit,0.21,99,29252
flake8,0.17,230,22808
ruff,0.01,140,66680
mypy,0.15,100,52536
bandit,0.22,100,29296
flake8,0.15,242,22864
ruff,0.01,141,74284
mypy,0.15,100,52612
bandit,0.21,100,29236
flake8,0.15,229,22732
ruff,0.01,140,71880
mypy,0.15,100,52580
bandit,0.24,100,29316
flake8,0.15,234,22820
ruff,0.01,145,76452
mypy,0.15,99,52568
bandit,0.21,99,29292
flake8,0.15,232,24904
ruff,0.01,126,72212
mypy,0.15,100,52544
bandit,0.21,100,29164
flake8,0.15,231,22688
ruff,0.01,133,82156
mypy,0.15,100,52536
bandit,0.21,100,29092
flake8,0.15,240,22808
ruff,0.01,136,82396
mypy,0.15,99,52608
bandit,0.20,99,29252
flake8,0.15,235,24892
ruff,0.01,145,78584
mypy,0.15,100,52536
bandit,0.20,100,29128
flake8,0.15,225,24768
ruff,0.01,129,80520
mypy,0.15,99,52440
bandit,0.20,99,29280
flake8,0.15,237,22796
ruff,0.01,133,82140
mypy,0.15,99,52604
bandit,0.21,99,29292
flake8,0.15,233,24884
ruff,0.01,150,76572
mypy,0.15,100,52556
bandit,0.20,99,29308
flake8,0.15,234,22796
ruff,0.01,145,82176
mypy,0.15,99,52616
bandit,0.21,100,29080
flake8,0.16,231,24788
ruff,0.01,131,74956
mypy,0.15,100,52612
bandit,0.20,100,29244
flake8,0.15,235,22816
ruff,0.01,141,84184
mypy,0.15,99,52528
bandit,0.20,100,29204
flake8,0.15,235,24836
ruff,0.01,133,80496
mypy,0.15,99,52612
bandit,0.20,99,29252
flake8,0.15,229,24808
ruff,0.01,133,78372
mypy,0.15,100,52536
bandit,0.20,100,29288
flake8,0.15,229,22872
ruff,0.01,133,80280
mypy,0.15,99,52540
bandit,0.20,99,29136
flake8,0.16,237,22812
ruff,0.01,136,80484
mypy,0.15,100,52568
bandit,0.20,99,29296
flake8,0.15,244,22736
ruff,0.01,145,80344
mypy,0.15,100,52488
bandit,0.20,100,29248
flake8,0.16,235,22820
ruff,0.01,125,78296
mypy,0.15,100,52600
bandit,0.21,100,29248
flake8,0.16,232,22788
ruff,0.01,127,84540
mypy,0.15,99,52548
bandit,0.20,99,29252
flake8,0.15,233,22808
ruff,0.01,133,80620
mypy,0.15,100,52604
bandit,0.20,100,29152
flake8,0.15,234,22856
ruff,0.01,136,80292
mypy,0.15,99,52556
bandit,0.20,100,29232
flake8,0.15,238,22704
ruff,0.01,136,72276
mypy,0.15,99,52628
bandit,0.20,99,29236
flake8,0.15,233,24732
ruff,0.01,127,84292
mypy,0.15,99,52532
bandit,0.20,99,29252
flake8,0.15,233,22692
ruff,0.01,145,86060
mypy,0.15,99,52556
bandit,0.20,99,29224
flake8,0.15,239,22708
ruff,0.01,136,80572
mypy,0.15,99,52544
bandit,0.20,99,29228
flake8,0.15,239,22808
ruff,0.01,145,80200
mypy,0.15,99,52564
bandit,0.20,99,29124
flake8,0.15,238,22816
ruff,0.01,133,74924
mypy,0.15,99,52564
bandit,0.20,100,29280
flake8,0.15,239,22860
ruff,0.01,141,84604
mypy,0.15,100,52604
bandit,0.20,99,28960
flake8,0.15,235,22692
ruff,0.01,136,76036
mypy,0.15,100,52528
bandit,0.21,100,29292
flake8,0.15,233,24808
ruff,0.01,150,86236
mypy,0.15,100,52604
bandit,0.20,99,29152
flake8,0.15,233,22808
ruff,0.01,129,84344
mypy,0.15,100,52612
bandit,0.20,99,29248
flake8,0.15,233,22708
ruff,0.01,133,82444
mypy,0.15,99,52552
bandit,0.20,99,29220
flake8,0.15,231,22688
ruff,0.01,133,80624
mypy,0.15,100,52608
bandit,0.20,99,29152
flake8,0.15,237,22804
ruff,0.01,133,80152
mypy,0.15,100,52528
bandit,0.21,99,29152
flake8,0.15,229,22812
ruff,0.01,125,72340
mypy,0.15,100,52632
bandit,0.21,100,28960
flake8,0.15,234,24852
ruff,0.01,145,80256
mypy,0.15,100,52572
bandit,0.20,97,29132
flake8,0.14,236,24772
ruff,0.01,145,84292
mypy,0.15,99,52484
bandit,0.20,99,29136
flake8,0.15,236,22732
ruff,0.01,133,83872
mypy,0.15,100,52544
bandit,0.21,100,29252
flake8,0.15,239,24820
ruff,0.01,141,80244
mypy,0.15,100,52448
bandit,0.20,99,29236
flake8,0.14,242,24840
ruff,0.01,145,80524
mypy,0.15,100,52616
bandit,0.20,100,29260
flake8,0.15,239,22796
ruff,0.01,150,82084
mypy,0.16,99,52524
bandit,0.20,99,29284
flake8,0.15,231,26728
ruff,0.01,140,78124
mypy,0.15,100,52568
bandit,0.20,99,29224
flake8,0.15,230,22808
ruff,0.01,137,82176
mypy,0.15,100,52544
bandit,0.20,100,29224
flake8,0.15,244,24824
ruff,0.01,136,82320
mypy,0.15,99,52476
bandit,0.20,99,29332
flake8,0.15,232,22816
ruff,0.01,120,74048
mypy,0.15,99,52544
bandit,0.20,100,29260
flake8,0.15,234,22684
ruff,0.01,150,72384
mypy,0.15,99,52636
bandit,0.20,99,28964
flake8,0.15,237,22688
ruff,0.01,126,82480
mypy,0.15,99,52556
bandit,0.20,99,29136
flake8,0.16,230,22728
ruff,0.01,141,81120
mypy,0.15,100,52468
bandit,0.20,99,29284
flake8,0.16,235,22788
ruff,0.01,136,82288
mypy,0.15,100,52616
bandit,0.20,99,29240
flake8,0.15,247,22808
ruff,0.01,136,78436
mypy,0.15,99,52532
bandit,0.20,100,29220
flake8,0.15,246,24860
ruff,0.01,135,80184
mypy,0.15,100,52612
bandit,0.20,100,29244
flake8,0.15,238,22728
ruff,0.01,136,80180
mypy,0.15,100,52464
bandit,0.20,100,29248
flake8,0.16,236,24724
ruff,0.01,127,80336
mypy,0.15,99,52552
bandit,0.20,100,29240
flake8,0.16,229,22804
ruff,0.01,125,78356
mypy,0.15,99,52524
bandit,0.20,99,29136
flake8,0.15,235,22744
ruff,0.01,126,70112
mypy,0.15,100,52600
bandit,0.20,100,29240
flake8,0.15,230,24844
ruff,0.01,153,82308
mypy,0.15,100,52560
bandit,0.20,100,29084
flake8,0.15,232,24692
ruff,0.01,154,72308
mypy,0.15,100,52520
bandit,0.21,99,29236
flake8,0.15,233,22744
ruff,0.01,127,72212
mypy,0.15,99,52564
bandit,0.21,100,29236
flake8,0.15,240,22812
ruff,0.01,127,82200
mypy,0.15,99,52572
bandit,0.20,99,29220
flake8,0.15,238,22864
ruff,0.01,154,82336
mypy,0.15,99,52564
bandit,0.20,100,28960
flake8,0.15,240,22732
ruff,0.01,145,86112
mypy,0.15,100,52556
bandit,0.20,99,29300
flake8,0.15,236,22864
ruff,0.01,145,80460
mypy,0.14,99,52612
bandit,0.20,100,29232
flake8,0.16,226,22804
ruff,0.01,135,85164
mypy,0.15,100,52600
bandit,0.20,100,29332
flake8,0.15,234,22788
ruff,0.01,136,83976
mypy,0.15,98,52456
bandit,0.20,99,29296
flake8,0.15,232,22732
ruff,0.01,145,74412
mypy,0.15,99,52552
bandit,0.20,99,29140
flake8,0.15,234,22792
ruff,0.01,145,86108
mypy,0.15,100,52616
bandit,0.21,99,29160
flake8,0.16,233,22860
ruff,0.01,131,72732
mypy,0.15,93,52556
bandit,0.21,100,29136
flake8,0.15,235,22816
ruff,0.01,141,82244
mypy,0.15,100,52604
bandit,0.21,100,29224
flake8,0.14,236,22808
ruff,0.01,127,84392
mypy,0.15,99,52532
bandit,0.20,100,29248
flake8,0.15,231,22728
ruff,0.01,141,80192
mypy,0.15,100,52564
bandit,0.21,99,29232
flake8,0.15,231,22708
ruff,0.01,123,54008
mypy,0.15,100,52564
bandit,0.20,99,29328
flake8,0.15,233,22644
ruff,0.01,138,82220
mypy,0.15,100,52572
bandit,0.20,100,29296
flake8,0.15,241,22864
ruff,0.01,138,80516
mypy,0.15,100,52532
bandit,0.20,100,29192
flake8,0.15,236,22744
ruff,0.01,136,86376
mypy,0.15,100,52480
bandit,0.20,99,28964
flake8,0.15,236,22732
ruff,0.01,122,78260
mypy,0.15,100,52532
bandit,0.21,99,29152
flake8,0.14,235,22732
ruff,0.01,133,82588
mypy,0.15,99,52608
bandit,0.20,99,29240
flake8,0.15,230,22792
ruff,0.01,154,84404
mypy,0.15,99,52540
bandit,0.20,97,29244
flake8,0.16,236,24816
ruff,0.01,140,76212
mypy,0.15,100,52556
bandit,0.20,99,29132
flake8,0.16,226,22664
ruff,0.01,120,64284
mypy,0.15,100,52616
bandit,0.20,100,29088
flake8,0.15,241,22688
ruff,0.01,145,74196
mypy,0.15,99,52572
bandit,0.20,99,29232
flake8,0.15,231,22800
ruff,0.01,133,82096
mypy,0.15,99,52560
bandit,0.20,99,29256
flake8,0.15,233,24836
ruff,0.01,145,82284
mypy,0.15,100,52624
bandit,0.20,99,29280
flake8,0.16,232,22728
ruff,0.01,131,78676
mypy,0.15,100,52532
bandit,0.20,100,29084
flake8,0.15,243,22736
ruff,0.01,133,80112
mypy,0.15,100,52512
bandit,0.20,100,29252
flake8,0.15,234,22820
ruff,0.01,136,72368
mypy,0.15,99,52528
bandit,0.20,100,29340
flake8,0.16,240,22664
ruff,0.01,160,78508
mypy,0.15,99,52564
bandit,0.20,100,29200
flake8,0.15,234,22812
ruff,0.01,129,79944
mypy,0.15,100,52612
bandit,0.20,100,29132
flake8,0.15,233,22772
ruff,0.01,133,82516
mypy,0.15,99,52604
bandit,0.20,100,29244
flake8,0.15,231,22772
ruff,0.01,154,80308
mypy,0.14,99,52524
bandit,0.20,99,29092
flake8,0.15,237,22784
ruff,0.01,136,76340
mypy,0.15,100,52556
bandit,0.21,100,29264
flake8,0.15,235,22864
ruff,0.01,129,78276
mypy,0.15,100,52480
bandit,0.20,99,29232
flake8,0.15,234,24740
ruff,0.01,118,66180
mypy,0.15,99,52532
bandit,0.20,99,29124
flake8,0.15,236,22744
ruff,0.01,145,84152
mypy,0.15,99,52560
bandit,0.21,99,29076
flake8,0.15,239,24720
ruff,0.01,145,82220
mypy,0.15,94,52548
bandit,0.21,100,29160
flake8,0.16,226,22792
ruff,0.01,127,82412
mypy,0.15,100,52616
bandit,0.22,97,29244
flake8,0.16,240,22816
ruff,0.01,145,78496
mypy,0.15,99,52540
bandit,0.20,99,28964
flake8,0.14,244,24896
ruff,0.01,136,76240
mypy,0.15,100,52460
bandit,0.20,99,29152
flake8,0.15,237,22812
ruff,0.01,136,84256
mypy,0.15,100,52448
bandit,0.20,99,29236
flake8,0.15,238,24836
ruff,0.01,129,80444
mypy,0.15,99,52572
bandit,0.20,100,29156
flake8,0.15,236,22684
ruff,0.01,136,82320
mypy,0.15,100,52552
bandit,0.20,99,29252
flake8,0.15,232,24824
ruff,0.01,141,82104
mypy,0.15,99,52488
bandit,0.20,99,29140
flake8,0.16,240,22696
ruff,0.00,155,70892
mypy,0.15,99,52560
bandit,0.21,99,28948
flake8,0.15,242,24744
ruff,0.01,127,86184
mypy,0.15,98,52552
bandit,0.20,100,29152
flake8,0.15,229,22816
ruff,0.01,150,76516
mypy,0.15,99,52576
bandit,0.20,99,29264
flake8,0.14,235,22740
ruff,0.01,145,84368
mypy,0.15,99,52600
bandit,0.20,100,29244
flake8,0.15,236,22688
ruff,0.01,136,86048
mypy,0.15,100,52488
bandit,0.20,99,28960
flake8,0.14,236,22840
ruff,0.01,127,84204
mypy,0.15,100,52608
bandit,0.20,99,29252
flake8,0.15,233,22688
ruff,0.01,150,80424
mypy,0.15,99,52532
bandit,0.20,100,28948
flake8,0.15,232,22816
ruff,0.01,150,78836
mypy,0.15,99,52540
bandit,0.21,99,29228
flake8,0.15,232,22800
ruff,0.01,127,82020
mypy,0.16,99,52632
bandit,0.20,99,29288
flake8,0.16,227,22868
ruff,0.01,125,80280
mypy,0.15,100,52576
bandit,0.20,100,29224
flake8,0.15,244,22736
ruff,0.01,133,80248
mypy,0.15,99,52564
bandit,0.20,99,29244
flake8,0.15,239,22812
ruff,0.01,145,82164
mypy,0.15,100,52616
bandit,0.20,99,29216
flake8,0.16,232,24712
ruff,0.01,133,82488
mypy,0.15,100,52584
bandit,0.21,99,29268
flake8,0.15,234,22736
ruff,0.01,127,84236
mypy,0.15,100,52528
bandit,0.20,100,29260
flake8,0.15,246,22812
ruff,0.01,150,84388
mypy,0.15,100,52568
bandit,0.20,99,29260
flake8,0.15,235,24772
ruff,0.01,136,78248
mypy,0.15,99,52480
bandit,0.20,100,29136
flake8,0.15,237,22796
ruff,0.01,145,84308
mypy,0.15,99,52644
bandit,0.20,99,29248
flake8,0.15,227,22660
ruff,0.01,127,78276
mypy,0.15,99,52604
bandit,0.20,99,29136
flake8,0.15,234,22732
ruff,0.01,135,84232
mypy,0.15,100,52600
bandit,0.20,99,29084
flake8,0.15,238,24700
ruff,0.01,133,74660
mypy,0.15,99,52548
bandit,0.20,100,29128
flake8,0.15,230,22788
ruff,0.01,125,74516
mypy,0.15,100,52556
bandit,0.20,99,29248
flake8,0.16,225,22868
ruff,0.01,125,71964
mypy,0.15,100,52544
bandit,0.21,99,29252
flake8,0.14,237,24776
ruff,0.01,146,74588
mypy,0.14,93,52528
bandit,0.21,97,29240
flake8,0.17,232,22704
ruff,0.02,120,82008
mypy,0.19,100,52536
bandit,0.23,99,29280
flake8,0.15,236,22796
ruff,0.06,106,78240
mypy,0.15,98,52532
bandit,0.20,100,29136
flake8,0.15,237,22772
ruff,0.01,122,82096
mypy,0.15,99,52532
bandit,0.20,100,29192
flake8,0.15,245,22804
ruff,0.01,136,76672
mypy,0.15,99,52448
bandit,0.20,99,29156
flake8,0.15,229,22812
ruff,0.01,145,84496
mypy,0.15,99,52616
bandit,0.20,100,29324
flake8,0.15,238,22808
ruff,0.01,145,80380
mypy,0.15,100,52560
bandit,0.20,100,29248
flake8,0.16,230,24764
ruff,0.01,127,84472
mypy,0.15,100,52560
bandit,0.20,100,29248
flake8,0.15,234,24904
ruff,0.01,127,80192
mypy,0.15,100,52604
bandit,0.21,99,29240
flake8,0.15,229,22680
ruff,0.01,136,84488
mypy,0.15,100,52536
bandit,0.20,100,29256
flake8,0.15,231,22816
ruff,0.01,125,82268
mypy,0.15,99,52448
bandit,0.21,99,29156
flake8,0.15,235,22728
ruff,0.01,123,76524
mypy,0.15,100,52564
bandit,0.20,99,29252
flake8,0.15,236,24816
ruff,0.01,150,71420
mypy,0.15,100,52620
bandit,0.20,100,29252
flake8,0.15,229,22732
ruff,0.01,141,82112
mypy,0.15,99,52436
bandit,0.20,100,29332
flake8,0.15,231,22848
ruff,0.01,136,76452
mypy,0.15,99,52552
bandit,0.20,100,29148
flake8,0.15,230,22736
ruff,0.01,127,78632
mypy,0.15,99,52548
bandit,0.20,99,29168
flake8,0.15,242,22804
ruff,0.01,136,80300
mypy,0.15,99,52540
bandit,0.20,99,29320
flake8,0.15,236,24904
ruff,0.01,145,84564
mypy,0.15,100,52544
bandit,0.20,99,29264
flake8,0.15,231,24848
ruff,0.01,136,76756
mypy,0.15,99,52456
bandit,0.20,99,28964
flake8,0.16,229,22692
ruff,0.01,125,76472
mypy,0.15,99,52604
bandit,0.20,99,29288
flake8,0.15,246,24872
ruff,0.01,133,84224
mypy,0.15,100,52532
bandit,0.20,99,29088
flake8,0.15,233,22804
ruff,0.01,145,80432
mypy,0.15,99,52552
bandit,0.20,98,29248
flake8,0.15,235,22812
ruff,0.01,154,82740
mypy,0.15,100,52480
bandit,0.21,100,29260
flake8,0.15,231,22732
ruff,0.01,122,84216
mypy,0.15,100,52572
bandit,0.20,99,29084
flake8,0.15,226,22704
ruff,0.01,145,82088
mypy,0.15,100,52536
bandit,0.20,99,29164
flake8,0.15,242,22684
ruff,0.01,133,80348
mypy,0.15,100,52472
bandit,0.21,100,29236
flake8,0.15,234,22808
ruff,0.00,133,60772
mypy,0.15,100,52552
bandit,0.20,100,29124
flake8,0.16,224,24856
ruff,0.01,122,78044
mypy,0.15,100,52608
bandit,0.20,99,29156
flake8,0.14,234,22740
ruff,0.01,133,84152
mypy,0.15,100,52552
bandit,0.20,96,29248
flake8,0.15,232,24836
ruff,0.01,127,72464
mypy,0.15,100,52552
bandit,0.21,100,28964
flake8,0.15,233,22660
ruff,0.01,140,78284
mypy,0.15,100,52624
bandit,0.21,99,29252
flake8,0.15,233,24700
ruff,0.01,127,86172
mypy,0.15,100,52528
bandit,0.20,99,29156
flake8,0.15,232,22808
ruff,0.01,141,81968
mypy,0.15,100,52568
bandit,0.20,100,29252
flake8,0.15,233,22804
ruff,0.01,133,82224
mypy,0.15,100,52564
bandit,0.20,99,29156
flake8,0.15,236,24808
ruff,0.01,150,82296
mypy,0.15,99,52552
bandit,0.21,98,29136
flake8,0.15,235,22736
ruff,0.01,135,78356
mypy,0.15,100,52456
bandit,0.20,100,29088
flake8,0.14,236,24692
ruff,0.01,141,82280
mypy,0.15,94,52556
bandit,0.20,99,29256
flake8,0.16,233,22816
ruff,0.01,154,76416
mypy,0.15,99,52564
bandit,0.20,100,29336
flake8,0.15,234,22728
ruff,0.01,145,82372
mypy,0.15,99,52632
bandit,0.20,99,29220
flake8,0.16,224,24764
ruff,0.01,122,86304
mypy,0.15,100,52532
bandit,0.20,99,29256
flake8,0.15,239,22708
ruff,0.01,145,76428
mypy,0.16,98,52576
bandit,0.20,99,29132
flake8,0.16,230,22812
ruff,0.01,133,84200
mypy,0.15,99,52520
bandit,0.21,99,29244
flake8,0.15,232,22788
ruff,0.01,136,80516
mypy,0.15,99,52564
bandit,0.21,99,29156
flake8,0.15,236,22708
ruff,0.01,133,82416
mypy,0.15,100,52540
bandit,0.20,100,29256
flake8,0.16,234,24728
ruff,0.01,136,84204
mypy,0.15,100,52452
bandit,0.20,100,28956
flake8,0.15,237,22804
ruff,0.01,118,76392
mypy,0.14,99,52532
bandit,0.20,99,28956
flake8,0.15,243,22804
ruff,0.01,145,82056
mypy,0.15,100,52552
bandit,0.20,100,29236
flake8,0.16,229,24716
ruff,0.01,129,84444
mypy,0.15,98,52580
bandit,0.20,99,29248
flake8,0.15,245,22868
ruff,0.01,141,82388
mypy,0.15,100,52616
bandit,0.20,99,29164
