Tool,Execution Time (s),CPU Used (%),Memory Used (KB)
mypy,0.05,5,984
bandit,0.06,4,976
flake8,0.06,4,872
ruff,0.06,4,964
mypy,0.06,4,972
bandit,0.06,6,960
flake8,0.06,4,984
ruff,0.06,4,972
mypy,0.06,5,948
bandit,0.05,5,980
flake8,0.05,5,980
ruff,0.06,5,944
mypy,0.06,6,968
bandit,0.07,5,976
flake8,0.04,4,956
ruff,0.06,4,984
mypy,0.06,4,968
bandit,0.06,6,948
flake8,0.06,6,876
ruff,0.06,6,968
mypy,0.06,6,972
bandit,0.06,4,972
flake8,0.06,6,960
ruff,0.06,6,972
mypy,0.06,6,912
bandit,0.07,5,948
flake8,0.06,6,976
ruff,0.06,4,900
mypy,0.07,6,948
bandit,0.09,7,976
flake8,0.08,7,972
ruff,0.07,6,956
mypy,0.07,5,976
bandit,0.06,6,912
flake8,0.06,6,968
ruff,0.06,6,964
mypy,0.06,6,972
bandit,0.06,5,880
flake8,0.05,5,968
ruff,0.06,4,972
mypy,0.07,6,912
bandit,0.07,6,984
flake8,0.08,6,980
ruff,0.07,6,980
mypy,0.08,7,980
bandit,0.07,6,896
flake8,0.06,6,960
ruff,0.05,3,892
mypy,0.05,5,960
bandit,0.06,6,968
flake8,0.06,5,980
ruff,0.06,6,976
mypy,0.06,5,964
bandit,0.07,6,1056
flake8,0.07,6,944
ruff,0.07,6,944
mypy,0.07,6,944
bandit,0.07,6,880
flake8,0.06,5,876
ruff,0.06,4,980
mypy,0.05,5,872
bandit,0.04,4,972
flake8,0.06,4,960
ruff,0.06,5,976
mypy,0.06,4,900
bandit,0.05,5,876
flake8,0.05,5,892
ruff,0.04,4,972
mypy,0.05,5,888
bandit,0.06,4,900
flake8,0.06,5,916
ruff,0.07,6,976
mypy,0.10,5,888
bandit,0.06,5,956
flake8,0.06,4,884
ruff,0.06,6,896
mypy,0.05,5,948
bandit,0.06,4,944
flake8,0.06,5,976
ruff,0.06,6,964
mypy,0.06,7,980
bandit,0.06,7,956
flake8,0.06,4,972
ruff,0.06,4,972
mypy,0.06,4,892
bandit,0.05,5,980
flake8,0.06,5,872
ruff,0.06,6,972
mypy,0.06,6,884
bandit,0.06,6,912
flake8,0.07,6,972
ruff,0.07,6,880
mypy,0.06,6,892
bandit,0.06,5,984
flake8,0.06,6,916
ruff,0.06,5,916
mypy,0.06,5,1060
bandit,0.06,4,920
flake8,0.08,7,884
ruff,0.08,6,968
mypy,0.08,6,1060
bandit,0.06,5,980
flake8,0.06,5,916
ruff,0.06,5,984
mypy,0.07,7,1060
bandit,0.06,6,960
flake8,0.06,6,892
ruff,0.04,6,972
mypy,0.06,6,960
bandit,0.06,6,960
flake8,0.07,7,984
ruff,0.06,6,976
mypy,0.06,4,884
bandit,0.06,5,960
flake8,0.07,6,896
ruff,0.06,6,888
mypy,0.06,4,972
bandit,0.06,5,976
flake8,0.06,6,892
ruff,0.07,7,972
mypy,0.06,6,956
bandit,0.06,5,972
flake8,0.06,5,968
ruff,0.06,6,928
mypy,0.07,5,960
bandit,0.07,5,972
flake8,0.05,5,972
ruff,0.06,5,920
mypy,0.06,6,916
bandit,0.06,6,972
flake8,0.07,7,896
ruff,0.07,7,892
mypy,0.05,5,884
bandit,0.06,5,972
flake8,0.06,5,956
ruff,0.06,5,964
mypy,0.06,6,896
bandit,0.06,5,900
flake8,0.07,6,892
ruff,0.07,7,892
mypy,0.06,5,888
bandit,0.06,4,1056
flake8,0.06,5,972
ruff,0.07,6,916
mypy,0.06,5,892
bandit,0.08,7,900
flake8,0.06,4,976
ruff,0.06,6,956
mypy,0.07,7,964
bandit,0.08,7,960
flake8,0.07,6,972
ruff,0.06,6,1056
mypy,0.06,6,960
bandit,0.06,6,964
flake8,0.06,6,872
ruff,0.06,6,976
mypy,0.06,6,964
bandit,0.06,6,976
flake8,0.07,6,892
ruff,0.06,5,972
mypy,0.06,6,960
bandit,0.05,5,988
flake8,0.06,4,900
ruff,0.07,5,876
mypy,0.05,5,960
bandit,0.06,6,960
flake8,0.06,5,964
ruff,0.06,6,944
mypy,0.06,6,956
bandit,0.07,7,892
flake8,0.07,6,944
ruff,0.07,6,972
mypy,0.07,6,1056
bandit,0.07,6,960
flake8,0.06,6,960
ruff,0.11,4,884
mypy,0.09,7,944
bandit,0.07,6,960
flake8,0.06,5,980
ruff,0.08,7,892
mypy,0.08,7,964
bandit,0.09,8,964
flake8,0.08,8,968
ruff,0.08,7,960
mypy,0.08,6,900
bandit,0.06,6,972
flake8,0.06,5,968
ruff,0.08,7,896
mypy,0.05,6,972
bandit,0.06,6,888
flake8,0.07,6,872
ruff,0.06,6,984
mypy,0.06,5,964
bandit,0.07,7,884
flake8,0.07,6,960
ruff,0.07,6,980
mypy,0.06,5,920
bandit,0.07,7,964
flake8,0.09,8,896
ruff,0.07,6,964
mypy,0.06,5,888
bandit,0.07,5,976
flake8,0.06,6,980
ruff,0.06,5,980
mypy,0.07,7,984
bandit,0.05,5,976
flake8,0.07,6,964
ruff,0.07,6,956
mypy,0.07,5,960
bandit,0.06,5,880
flake8,0.08,7,980
ruff,0.08,6,1060
mypy,0.07,5,1060
bandit,0.06,4,976
flake8,0.06,6,900
ruff,0.06,6,876
mypy,0.06,6,872
bandit,0.06,6,964
flake8,0.06,4,984
ruff,0.06,4,976
mypy,0.06,4,968
bandit,0.07,6,984
flake8,0.06,5,964
ruff,0.07,5,876
mypy,0.07,5,972
bandit,0.06,6,892
flake8,0.06,5,1056
ruff,0.06,6,968
mypy,0.06,6,1060
bandit,0.06,6,984
flake8,0.07,7,920
ruff,0.07,6,880
mypy,0.07,8,892
bandit,0.08,6,948
flake8,0.09,7,888
ruff,0.09,8,968
mypy,0.08,7,900
bandit,0.06,6,972
flake8,0.08,7,972
ruff,0.07,6,972
mypy,0.07,6,896
bandit,0.14,6,1064
flake8,0.10,8,980
ruff,0.08,8,984
mypy,0.07,6,948
bandit,0.07,6,868
flake8,0.17,6,984
ruff,0.21,5,944
mypy,0.10,8,884
bandit,0.10,7,872
flake8,0.17,6,972
ruff,0.23,5,888
mypy,0.19,5,952
bandit,0.18,5,980
flake8,0.11,8,972
ruff,0.17,6,872
mypy,0.18,5,972
bandit,0.10,7,976
flake8,0.26,4,956
ruff,0.26,4,888
mypy,0.14,6,944
bandit,0.19,5,984
flake8,0.11,8,964
ruff,0.33,4,948
mypy,0.19,5,1060
bandit,0.89,2,964
flake8,0.40,3,968
ruff,0.58,3,964
mypy,0.35,4,968
bandit,0.13,6,948
flake8,0.10,7,1060
ruff,0.07,5,916
mypy,0.08,7,888
bandit,0.09,7,880
flake8,0.08,6,892
ruff,0.08,7,976
mypy,0.07,6,968
bandit,0.07,5,944
flake8,0.08,7,976
ruff,0.08,7,876
mypy,0.07,6,1060
bandit,0.06,5,880
flake8,0.08,6,896
ruff,0.06,6,1060
mypy,0.09,8,1060
bandit,0.08,7,972
flake8,0.07,7,964
ruff,0.06,6,912
mypy,0.07,6,908
bandit,0.08,7,948
flake8,0.07,6,884
ruff,0.08,6,960
mypy,0.17,6,960
bandit,0.20,6,948
